"Date (TU),""Valeur (en m³/s)"",""Statut"",""Qualification"",""Méthode"",""Continuité"""
"2014-04-08T00:00:00.000Z,""836"",""4"",16,8,0"
"2014-04-09T00:00:00.000Z,""880"",""4"",16,8,0"
"2014-04-10T00:00:00.000Z,""854"",""4"",16,8,0"
"2014-04-11T00:00:00.000Z,""844"",""4"",16,8,0"
"2014-04-12T00:00:00.000Z,""821"",""4"",16,8,0"
"2014-04-13T00:00:00.000Z,""813"",""4"",16,8,0"
"2014-04-14T00:00:00.000Z,""795"",""4"",16,8,0"
"2014-04-15T00:00:00.000Z,""816"",""4"",16,8,0"
"2014-04-16T00:00:00.000Z,""779"",""4"",16,8,0"
"2014-04-17T00:00:00.000Z,""756"",""4"",16,8,0"
"2014-04-18T00:00:00.000Z,""719"",""4"",16,8,0"
"2014-04-19T00:00:00.000Z,""742"",""4"",16,8,0"
"2014-04-20T00:00:00.000Z,""757"",""4"",16,8,0"
"2014-04-21T00:00:00.000Z,""727"",""4"",16,8,0"
"2014-04-22T00:00:00.000Z,""743"",""4"",16,8,0"
"2014-04-23T00:00:00.000Z,""732"",""4"",16,8,0"
"2014-04-24T00:00:00.000Z,""729"",""4"",16,8,0"
"2014-04-25T00:00:00.000Z,""734"",""4"",16,8,0"
"2014-04-26T00:00:00.000Z,""766"",""4"",16,8,0"
"2014-04-27T00:00:00.000Z,""973"",""4"",16,8,0"
"2014-04-28T00:00:00.000Z,""1020"",""4"",16,8,0"
"2014-04-29T00:00:00.000Z,""1140"",""4"",16,8,0"
"2014-04-30T00:00:00.000Z,""1120"",""4"",16,8,0"
"2014-05-01T00:00:00.000Z,""1220"",""4"",16,8,0"
"2014-05-02T00:00:00.000Z,""1190"",""4"",16,8,0"
"2014-05-03T00:00:00.000Z,""1410"",""4"",16,8,0"
"2014-05-04T00:00:00.000Z,""1500"",""4"",16,8,0"
"2014-05-05T00:00:00.000Z,""1300"",""4"",16,8,0"
"2014-05-06T00:00:00.000Z,""1210"",""4"",16,8,0"
"2014-05-07T00:00:00.000Z,""1210"",""4"",16,8,0"
"2014-05-08T00:00:00.000Z,""1210"",""4"",16,8,0"
"2014-05-09T00:00:00.000Z,""1220"",""4"",16,8,0"
"2014-05-10T00:00:00.000Z,""1150"",""4"",16,8,0"
"2014-05-11T00:00:00.000Z,""1110"",""4"",16,8,0"
"2014-05-12T00:00:00.000Z,""1170"",""4"",16,8,0"
"2014-05-13T00:00:00.000Z,""1190"",""4"",16,8,0"
"2014-05-14T00:00:00.000Z,""1300"",""4"",16,8,0"
"2014-05-15T00:00:00.000Z,""1490"",""4"",16,8,0"
"2014-05-16T00:00:00.000Z,""1380"",""4"",16,8,0"
"2014-05-17T00:00:00.000Z,""1280"",""4"",16,8,0"
"2014-05-18T00:00:00.000Z,""1160"",""4"",16,8,0"
"2014-05-19T00:00:00.000Z,""1100"",""4"",16,8,0"
"2014-05-20T00:00:00.000Z,""1110"",""4"",16,8,0"
"2014-05-21T00:00:00.000Z,""1090"",""4"",16,8,0"
"2014-05-22T00:00:00.000Z,""1060"",""4"",16,8,0"
"2014-05-23T00:00:00.000Z,""1140"",""4"",16,8,0"
"2014-05-24T00:00:00.000Z,""1290"",""4"",16,8,0"
"2014-05-25T00:00:00.000Z,""1220"",""4"",16,8,0"
"2014-05-26T00:00:00.000Z,""1210"",""4"",16,8,0"
"2014-05-27T00:00:00.000Z,""1240"",""4"",16,8,0"
"2014-05-28T00:00:00.000Z,""1380"",""4"",16,8,0"
"2014-05-29T00:00:00.000Z,""1320"",""4"",16,8,0"
"2014-05-30T00:00:00.000Z,""1240"",""4"",16,8,0"
"2014-05-31T00:00:00.000Z,""1180"",""4"",16,8,0"
"2014-06-01T00:00:00.000Z,""1110"",""4"",16,8,0"
"2014-06-02T00:00:00.000Z,""1080"",""4"",16,8,0"
"2014-06-03T00:00:00.000Z,""1060"",""4"",16,8,0"
"2014-06-04T00:00:00.000Z,""1030"",""4"",16,8,0"
"2014-06-05T00:00:00.000Z,""1040"",""4"",16,8,0"
"2014-06-06T00:00:00.000Z,""1000"",""4"",16,8,0"
"2014-06-07T00:00:00.000Z,""965"",""4"",16,8,0"
"2014-06-08T00:00:00.000Z,""943"",""4"",16,8,0"
"2014-06-09T00:00:00.000Z,""935"",""4"",16,8,0"
"2014-06-10T00:00:00.000Z,""935"",""4"",16,8,0"
"2014-06-11T00:00:00.000Z,""984"",""4"",16,8,0"
"2014-06-12T00:00:00.000Z,""998"",""4"",16,8,0"
